"ppl_set","trip_set","density_trips","capture_1","capture_2","capture_3"
1,1,1895.652,1,0,0
1,2,1895.652,1,0,0
1,3,1895.652,1,1,0
1,4,1895.652,0,1,0
1,5,1895.652,0,0,1
2,1,1895.652,0,0,1
2,2,1895.652,0,0,1
2,3,1895.652,0,0,1
3,1,1895.652,0,0,1
3,2,1895.652,0,0,1
3,3,1895.652,0,0,1
3,4,1895.652,0,0,1
4,1,1895.652,0,0,1
4,2,1895.652,0,0,1
5,1,1895.652,0,0,1
5,2,1895.652,0,0,1
5,3,1895.652,0,0,1
5,4,1895.652,0,0,1
5,5,1895.652,0,0,1
5,6,1895.652,0,0,1
6,1,1895.652,0,0,1
6,2,1895.652,0,0,1
6,3,1895.652,0,0,1
7,1,1895.652,0,0,1
8,1,1895.652,0,0,1
8,2,1895.652,0,0,1
8,3,1895.652,0,0,1
8,4,1895.652,0,0,1
8,5,1895.652,0,0,1
8,6,1895.652,0,0,1
9,1,1895.652,0,0,1
9,2,1895.652,0,0,1
9,3,1895.652,0,0,1
9,4,1895.652,0,0,1
9,5,1895.652,0,0,1
9,6,1895.652,0,0,1
10,1,1895.652,0,0,1
10,2,1895.652,0,0,1
11,1,1895.652,0,0,1
11,2,1895.652,0,0,1
11,3,1895.652,0,0,1
12,1,1895.652,0,0,1
12,2,1895.652,0,0,1
12,3,1895.652,0,0,1
12,4,1895.652,0,0,1
13,1,1895.652,0,0,1
13,2,1895.652,0,0,1
14,1,1895.652,0,0,1
14,2,1895.652,0,0,1
14,3,1895.652,0,0,1
14,4,1895.652,0,0,1
14,5,1895.652,0,0,1
15,1,1895.652,0,0,1
15,2,1895.652,0,0,1
15,3,1895.652,0,0,1
15,4,1895.652,0,0,1
16,1,1895.652,0,0,1
16,2,1895.652,0,0,1
16,3,1895.652,0,0,1
17,1,1895.652,0,0,1
17,2,1895.652,0,0,1
17,3,1895.652,0,0,1
17,4,1895.652,0,0,1
17,5,1895.652,0,0,1
17,6,1895.652,0,0,1
18,1,1895.652,0,0,1
18,2,1895.652,0,0,1
18,3,1895.652,0,0,1
18,4,1895.652,0,0,1
18,5,1895.652,0,0,1
19,1,1895.652,0,0,1
19,2,1895.652,0,0,1
19,3,1895.652,0,0,1
19,4,1895.652,0,0,1
19,5,1895.652,0,0,1
20,1,1895.652,0,0,1
21,1,1895.652,0,0,1
21,2,1895.652,0,0,1
21,3,1895.652,0,0,1
21,4,1895.652,0,0,1
21,5,1895.652,0,0,1
21,6,1895.652,0,0,1
21,7,1895.652,0,0,1
21,8,1895.652,0,0,1
22,1,1895.652,0,0,1
22,2,1895.652,0,0,1
22,3,1895.652,0,0,1
22,4,1895.652,0,0,1
22,5,1895.652,0,0,1
22,6,1895.652,0,0,1
23,1,1895.652,0,0,1
23,2,1895.652,0,0,1
23,3,1895.652,0,0,1
23,4,1895.652,0,0,1
24,1,1895.652,0,0,1
24,2,1895.652,0,0,1
24,3,1895.652,0,0,1
25,1,1895.652,0,0,1
25,2,1895.652,0,0,1
26,1,1895.652,0,0,1
26,2,1895.652,0,0,1
26,3,1895.652,0,0,1
26,4,1895.652,0,0,1
26,5,1895.652,0,0,1
27,1,1895.652,0,0,1
27,2,1895.652,0,0,1
27,3,1895.652,0,0,1
27,4,1895.652,0,0,1
27,5,1895.652,0,0,1
27,6,1895.652,0,0,1
27,7,1895.652,0,0,1
27,8,1895.652,0,0,1
28,1,1895.652,0,0,1
28,2,1895.652,0,0,1
28,3,1895.652,0,0,1
28,4,1895.652,0,0,1
28,5,1895.652,0,0,1
28,6,1895.652,0,0,1
28,7,1895.652,0,0,1
28,8,1895.652,0,0,1
29,1,1895.652,0,0,1
29,2,1895.652,0,0,1
29,3,1895.652,0,0,1
29,4,1895.652,0,0,1
29,5,1895.652,0,0,1
30,1,1895.652,0,0,1
30,2,1895.652,0,0,1
